REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
3,WEST VIRGINIA,Greenbrier County,32977,32866,32608,-111,-258,92,326,173,634,-81,-308,0,9,-26,37,-26,46,9.958151327,19.36646608,-9.408314751,0.274918288,1.130219629,1.405137917
3,WEST VIRGINIA,Hampshire County,23093,23067,23302,-26,235,60,220,95,357,-35,-137,0,0,11,375,11,375,9.48909832,15.39821864,-5.909120317,0,16.17459941,16.17459941
3,WEST VIRGINIA,Hancock County,29095,29019,28656,-76,-363,77,235,139,479,-62,-244,0,1,-11,-123,-11,-122,8.1491114,16.61031643,-8.461205028,0.03467707,-4.265279584,-4.230602514
3,WEST VIRGINIA,Hardy County,14299,14240,14160,-59,-80,34,134,38,189,-4,-55,1,12,-55,-36,-54,-24,9.436619718,13.30985916,-3.873239437,0.845070423,-2.535211268,-1.690140845
3,WEST VIRGINIA,Harrison County,65921,65771,65158,-150,-613,181,670,267,1075,-86,-405,0,4,-61,-222,-61,-218,10.23455461,16.42111373,-6.186559127,0.061101819,-3.391150929,-3.330049111
3,WEST VIRGINIA,Jackson County,27791,27735,27738,-56,3,73,276,94,416,-21,-140,0,15,-32,126,-32,141,9.950786869,14.99828746,-5.047500586,0.540803634,4.542750527,5.083554162
3,WEST VIRGINIA,Jefferson County,57701,57732,58370,31,638,138,532,140,619,-2,-87,0,32,33,693,33,725,9.164355481,10.66303767,-1.498682193,0.551239427,11.93777885,12.48901828
3,WEST VIRGINIA,Kanawha County,180745,180048,177952,-697,-2096,415,1675,740,2924,-325,-1249,4,86,-364,-950,-360,-864,9.357541899,16.33519553,-6.977653631,0.480446927,-5.30726257,-4.826815642
3,WEST VIRGINIA,Lewis County,17033,17009,16892,-24,-117,44,161,68,260,-24,-99,0,0,1,-20,1,-20,9.49824489,15.33878057,-5.840535677,0,-1.179906197,-1.179906197
3,WEST VIRGINIA,Lincoln County,20463,20337,20126,-126,-211,49,205,98,373,-49,-168,0,4,-76,-49,-76,-45,10.13271384,18.4365964,-8.303882559,0.19771149,-2.421965746,-2.224254257
