GEO_ID,STATE,COUNTY,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
0500000US05131,05,131,"Sebastian County, Arkansas",126838,37840,12880,29.83,10.15,57420,13492,45.27,10.64,31578,11071,24.90,8.73
0500000US05133,05,133,"Sevier County, Arkansas",16978,3897,1715,22.95,10.10,8091,1992,47.66,11.73,4990,1784,29.39,10.51
0500000US05135,05,135,"Sharp County, Arkansas",17417,3150,1633,18.09,9.38,7588,1816,43.57,10.43,6679,1636,38.35,9.39
0500000US05137,05,137,"Stone County, Arkansas",12482,3293,1348,26.38,10.80,5176,1506,41.47,12.07,4013,1370,32.15,10.98
0500000US05139,05,139,"Union County, Arkansas",38496,11485,3563,29.83,9.26,16786,4010,43.60,10.42,10225,3651,26.56,9.48
0500000US05141,05,141,"Van Buren County, Arkansas",16495,3236,1601,19.62,9.71,6646,1774,40.29,10.75,6613,1588,40.09,9.63
0500000US05143,05,143,"Washington County, Arkansas",232362,76487,22480,32.92,9.67,105249,23442,45.30,10.09,50626,18694,21.79,8.05
0500000US05145,05,145,"White County, Arkansas",76082,21828,6931,28.69,9.11,36515,7502,47.99,9.86,17739,6418,23.32,8.44
0500000US05147,05,147,"Woodruff County, Arkansas",6312,1126,635,17.84,10.06,2930,719,46.42,11.40,2256,672,35.74,10.64
0500000US05149,05,149,"Yell County, Arkansas",21314,4739,2099,22.23,9.85,10559,2336,49.54,10.96,6016,2059,28.23,9.66
0500000US06001,06,001,"Alameda County, California",1651538,531299,164316,32.17,9.95,835216,180015,50.57,10.90,285023,142264,17.26,8.61
0500000US06003,06,003,"Alpine County, California",1129,145,140,12.84,12.40,652,170,57.75,15.03,332,153,29.41,13.59
0500000US06005,06,005,"Amador County, California",35620,8602,3391,24.15,9.52,18001,3929,50.54,11.03,9017,3440,25.31,9.66
0500000US06007,06,007,"Butte County, California",216365,64072,21907,29.61,10.13,105182,23305,48.61,10.77,47111,18249,21.77,8.43
0500000US06009,06,009,"Calaveras County, California",45621,11539,4585,25.29,10.05,23900,5228,52.39,11.46,10182,4497,22.32,9.86
0500000US06011,06,011,"Colusa County, California",21421,5130,1941,23.95,9.06,10813,2341,50.48,10.93,5478,2048,25.57,9.56
0500000US06013,06,013,"Contra Costa County, California",1150025,399056,114254,34.70,9.93,561581,123752,48.83,10.76,189388,97218,16.47,8.45
0500000US06015,06,015,"Del Norte County, California",24980,6378,2679,25.53,10.73,12698,2909,50.83,11.65,5904,2336,23.63,9.35
0500000US06017,06,017,"El Dorado County, California",192285,65945,18928,34.30,9.84,90433,20085,47.03,10.45,35907,15705,18.67,8.17
0500000US06019,06,019,"Fresno County, California",988669,232270,95973,23.49,9.71,494361,109056,50.00,11.03,262038,88911,26.50,8.99
