UID,code3,FIPS,Admin2,Province_State,3/31/21
84012067,840,12067,Lafayette,Florida,1606
84012069,840,12069,Lake,Florida,26679
84012071,840,12071,Lee,Florida,62713
84012073,840,12073,Leon,Florida,30307
84012075,840,12075,Levy,Florida,3094
84012077,840,12077,Liberty,Florida,1055
84012079,840,12079,Madison,Florida,2032
84012081,840,12081,Manatee,Florida,34769
84012083,840,12083,Marion,Florida,29044
84012085,840,12085,Martin,Florida,11371
84012086,840,12086,Miami-Dade,Florida,445464
84012087,840,12087,Monroe,Florida,6428
84012089,840,12089,Nassau,Florida,7976
84012091,840,12091,Okaloosa,Florida,19749
84012093,840,12093,Okeechobee,Florida,3749
84012095,840,12095,Orange,Florida,123683
84012097,840,12097,Osceola,Florida,39604
84080012,840,80012,Out of FL,Florida,0
84012099,840,12099,Palm Beach,Florida,131581
84012101,840,12101,Pasco,Florida,36391
84012103,840,12103,Pinellas,Florida,72243
84012105,840,12105,Polk,Florida,61175
84012107,840,12107,Putnam,Florida,6051
84012113,840,12113,Santa Rosa,Florida,17744
84012115,840,12115,Sarasota,Florida,29359
84012117,840,12117,Seminole,Florida,30052
84012109,840,12109,St. Johns,Florida,21337
84012111,840,12111,St. Lucie,Florida,23985
84012119,840,12119,Sumter,Florida,8790
84012121,840,12121,Suwannee,Florida,5215
84012123,840,12123,Taylor,Florida,2694
84090012,840,90012,Unassigned,Florida,3561
84012125,840,12125,Union,Florida,1774
84012127,840,12127,Volusia,Florida,38265
84012129,840,12129,Wakulla,Florida,3248
84012131,840,12131,Walton,Florida,7315
84012133,840,12133,Washington,Florida,2673
84013001,840,13001,Appling,Georgia,2255
84013003,840,13003,Atkinson,Georgia,994
84013005,840,13005,Bacon,Georgia,1600
84013007,840,13007,Baker,Georgia,224
84013009,840,13009,Baldwin,Georgia,4406
84013011,840,13011,Banks,Georgia,1751
84013013,840,13013,Barrow,Georgia,9472
84013015,840,13015,Bartow,Georgia,13935
84013017,840,13017,Ben Hill,Georgia,2056
84013019,840,13019,Berrien,Georgia,1789
84013021,840,13021,Bibb,Georgia,15344
84013023,840,13023,Bleckley,Georgia,1428
84013025,840,13025,Brantley,Georgia,1569
84013027,840,13027,Brooks,Georgia,1366
