FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct
34023,807430,35.84,43.53,20.63,2204,3005.0,60.436155379018174
34025,616539,45.08,38.65,16.27,1499,2709.0,47.941430804096775
34027,487956,47.72,36.88,15.4,1175,1937.0,51.409852934298186
34029,605274,36.71,43.53,19.76,2001,1270.0,34.97815622108481
34031,495371,27.88,45.08,27.03,1789,1418.0,57.70807350686389
34033,61998,39.45,39.39,21.16,170,222.0,42.68321443311125
34035,328128,46.92,38.29,14.79,806,612.0,59.81577432354634
34037,140263,50.42,35.9,13.68,283,146.0,39.20077307867212
34039,554187,32.51,43.39,24.1,1860,1736.0,67.29290765284141
34041,104411,44.99,39.48,15.53,228,309.0,40.96435093029759
35001,672578,30.59,46.19,23.23,901,1408.0,61.00853301426368
35003,3524,18.56,47.5,33.94,5,0.0,25.580395528804814
35005,63310,26.21,47.36,26.43,164,188.0,28.43202780376955
35006,24322,15.39,45.62,38.99,106,50.0,53.29664158148939
35007,11664,23.42,48.96,27.61,46,25.0,43.40093085106383
35009,48639,33.29,43.88,22.83,72,106.0,28.52128998079597
35011,1739,21.56,52.21,26.22,1,0.0,25.638179800221977
35013,214730,25.46,49.37,25.17,421,367.0,58.03051753972
35015,58206,29.13,50.38,20.5,122,263.0,23.357161312548445
35017,26710,19.92,48.07,32.01,35,71.0,52.58053342570143
35019,3729,14.62,46.71,38.67,9,10.0,56.37277295568753
35021,625,14.72,51.84,33.44,0,0.0,35.445544554455445
35023,4171,17.55,50.23,32.22,9,0.0,41.6919959473151
35025,69312,29.33,47.76,22.91,158,211.0,19.41390190266756
35027,19474,23.38,47.76,28.86,18,25.0,30.991655346400155
35028,19339,37.3,48.58,14.13,6,47.0,61.44960546652567
35029,23248,24.07,46.86,29.08,84,25.0,43.97136862890287
35031,71019,9.31,37.29,53.4,456,228.0,68.06992373329305
35033,4521,17.76,41.45,40.79,6,0.0,64.96649292628443
