FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
13143,29675,36.17,39.4,24.42
13145,34973,34.35,41.96,23.69
13147,25734,26.96,43.14,29.9
13149,11867,31.45,40.79,27.77
13151,233822,41.87,41.6,16.53
13153,157235,38.65,42.81,18.54
13155,8402,27.24,43.97,28.79
13157,72609,38.27,41.18,20.55
13159,14178,35.67,42.6,21.73
13161,15071,24.5,47.47,28.03
13163,15030,23.91,38.11,37.98
13165,7579,17.84,39.95,42.21
13167,8087,26.51,41.02,32.47
13169,28587,38.95,36.41,24.64
13171,18067,34.71,42.2,23.09
13173,10216,30.66,44.74,24.6
13175,47050,24.82,43.8,31.38
13177,29213,40.16,41.06,18.79
13179,61187,33.92,47.53,18.55
13181,7863,29.81,40.24,29.95
13183,19332,26.09,52.59,21.32
13185,112875,30.89,43.85,25.27
13187,30704,33.03,43.68,23.29
13189,21082,26.97,41.43,31.6
13191,14307,26.35,45.75,27.9
13193,11241,23.75,45.18,31.06
13195,29790,30.25,43.43,26.32
13197,8336,23.68,40.83,35.48
13199,21039,22.13,42.58,35.29
13201,5704,22.12,38.03,39.85
13205,19949,19.87,41.05,39.08
13207,26754,36.14,42.97,20.89
13209,8368,28.23,43.76,28.01
13211,19206,29.64,50.26,20.1
13213,39948,32.09,47.01,20.9
13215,192597,32.77,42.21,25.02
13217,110564,37.55,42.46,19.99
13219,40226,48.25,40.87,10.87
13221,15162,32.6,43.06,24.34
13223,168326,43.14,43.42,13.45
13225,26354,31.33,40.77,27.9
13227,32496,32.98,44.58,22.44
13229,19412,34.31,39.09,26.6
13231,18750,37.43,45.96,16.61
13233,42479,32.4,42.27,25.33
13235,10019,20.92,46.93,32.15
13237,22047,23.84,46.93,29.23
13239,2299,15.35,45.98,38.67
13241,17047,22.8,44.49,32.71
13243,6553,19.69,35.56,44.76
13245,197328,30.95,45.1,23.95
13247,90475,33.29,47.72,18.99
13249,5257,40.63,39.09,20.28
13251,13599,30.36,38.77,30.87
13253,8055,22.76,44.26,32.99
13255,65897,32.09,41.16,26.75
13257,25390,28.83,45.84,25.32
13259,4999,17.7,42.75,39.55
13261,28134,24.48,43.83,31.69
13263,6195,26.86,41.61,31.53
13265,1537,22.51,43.92,33.57
13267,21069,25.27,39.68,35.05
13269,7947,24.93,41.16,33.91
13271,12910,27.11,32.78,40.11
13273,8345,24.87,38.54,36.6
13275,44279,33.67,38.97,27.36
13277,39358,30.26,39.62,30.12
13279,26810,29.7,43.1,27.2
13281,10984,23.05,47.05,29.9
13283,6591,19.3,45.24,35.46
13285,68292,29.78,43.33,26.89
13287,7716,20.97,38.63,40.4
13289,8120,29.1,45.2,25.7
13291,24364,22.46,49.01,28.54
13293,26187,31.02,39.0,29.98
13295,68903,34.04,41.7,24.26
13297,94077,41.63,39.88,18.5
13299,33779,27.2,45.69,27.11
13301,5254,20.71,38.48,40.81
13303,18712,24.88,47.02,28.1
13305,28103,25.53,50.54,23.93
13307,2607,27.54,38.2,34.25
13309,5391,28.03,42.68,29.29
13311,30081,28.86,46.36,24.78
13313,104101,32.7,46.13,21.18
13315,6863,24.65,42.52,32.83
13317,9728,23.89,42.92,33.19
13319,8910,29.9,44.29,25.81
13321,20193,22.05,44.97,32.98
15001,199711,23.99,51.96,24.04
15003,963479,29.84,52.82,17.34
