FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
5063,763.9536057,37264,16465,14268,6254,793,23426,3577,6398,8897,7258,1385,4110,573,422,3024,339,617,1070,3146,39244
5083,708.1216233,21757,10180,8464,4514,837,22221,2278,4184,4825,4508,899,2036,170,123,1328,227,400,607,1729,18204
5085,770.9020787,72206,29076,26868,8733,1418,26222,5363,9272,18874,9760,2696,10014,441,655,4348,540,1121,660,5404,50870
5087,834.2536231,16076,7552,6195,2680,447,23875,2242,2962,3811,3063,378,1677,212,102,1554,177,337,80,1830,11345
5115,812.5197955,63644,26196,22628,11117,1797,22110,6117,9589,14579,10550,2161,9949,1285,983,2969,486,1244,3427,5729,64002
5117,647.8867151,8244,4531,3826,1266,235,24075,1062,1890,1681,1716,285,1246,0,39,1136,120,258,137,667,6295
5121,652.2233313,17603,8558,7455,3127,300,21338,2121,3482,4025,3728,833,965,100,61,1210,209,437,360,1462,16177
5125,723.5463375,118009,48259,43604,9928,2290,29358,7790,20250,27906,19739,3820,17487,1172,2000,7479,847,1732,1302,7162,83629
5131,531.8947596,127461,56591,50670,25420,2905,25084,14230,19388,30879,23805,5053,38283,4020,5285,2370,1765,3412,1883,13586,137686
5145,1035.0823537,78804,33684,29263,12701,1965,23747,7454,12425,18585,12583,2581,9290,765,1854,6156,482,1791,3878,7074,72870
6007,1636.4694605,227075,98743,86797,44410,9085,27537,15823,40219,45658,38146,6845,62685,5363,7374,12863,2757,6232,6064,16561,215129
6017,1707.8412963,186661,89763,69172,16537,5480,40382,9299,36751,38016,24687,3829,40671,3079,4353,4913,1532,2850,1780,9656,146428
6023,3568.1722238,135768,62826,54267,26957,5327,26747,8878,22647,26259,21941,5088,34463,2500,2666,5565,2085,4133,4140,13055,126832
6027,10180.9338418,18085,9540,8083,1792,447,31540,1478,4148,3635,2489,527,6696,460,369,2084,156,552,647,1125,16860
6061,1407.0812723,380077,161846,140661,30293,9005,41508,14403,71099,85719,40330,8742,101697,6453,11592,4488,2924,5405,4171,17902,355423
6079,3300.6361615,281455,121095,105317,35303,6175,35832,17123,52758,50492,31615,6938,86881,9045,7329,9630,3482,4557,16435,20715,265934
6089,3775.394188,179085,78535,70473,30186,4824,27983,11606,35621,38673,31671,6077,35510,2041,3545,9313,2301,4788,3278,13266,169416
6093,6278.7649556,43540,24102,19257,8374,1440,28130,3181,10463,8797,8410,1416,10150,613,792,3031,622,1350,543,3050,40427
8019,395.19926,9379,5771,4640,509,101,40655,123,1769,1472,898,292,1012,87,292,369,68,116,120,833,6538
8039,1850.835533,25162,9459,9046,1110,380,43349,595,3689,5514,2506,340,2788,32,57,388,126,180,68,1451,12940
8047,149.895991,5924,3673,2653,238,88,48460,114,858,962,509,51,801,13,204,84,22,126,108,272,6993
8051,3239.1402121,16537,11854,6643,2084,589,30127,296,2044,2929,1294,511,2119,71,1120,673,132,197,896,1779,15340
8057,1613.7249917,1296,1315,575,202,15,25467,120,288,248,87,14,259,21,0,211,4,9,10,137,1042
8065,376.9188998,7585,4800,3353,1232,240,28062,792,886,1267,894,247,2588,300,307,660,83,139,144,1108,6333
8067,1689.7839023,55101,27442,21793,4609,1250,37864,1966,8634,10565,4854,1065,11719,275,2280,3647,533,571,1888,4993,53142
