FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,AREA_SQMI
1129,16259,34.84,33.05,32.11,38,25.0,25.4393871113114,87.10100861,62.99336079,72.25893437,59.81448251,85.03955237,81.47955277,91.3,8.333333333,88.77896525,68.09742634,82.06593133,19598.0,77.30334529,77.6644712,74.72241094,72.88984565,80.44687533,62.30515999,68.36436517,1080.2054264
1131,10335,23.68,33.99,42.33,26,30.0,68.57530069456209,89.39607827,63.88155863,66.34090808,47.02162013,86.43253982,59.07591118,85.3,9.900990099,85.640992,69.42757862,80.15564745,14800.0,76.10115446,77.78544082,80.42544047,72.06743139,77.10360849,67.44625774,67.62227734,888.4496913
1133,23573,30.36,35.57,34.07,71,59.0,8.631690889755406,84.1768915,62.11197595,70.91940267,63.8088419,81.91887009,82.84883705,92.7,7.556675063,87.94305609,68.93460798,82.87301981,19299.0,81.14791151,79.39184942,72.02324973,71.07689634,74.02966108,66.33658153,67.94970377,612.9789792
2013,3337,10.67,49.75,39.59,2,0.0,34.56502009594192,76.06722461,67.46217104,68.03193386,66.28062015,80.06249201,77.81650596,97.3,4.761904762,75.83310598,70.91554734,83.78742545,31025.0,89.92294718,81.555565,66.95241431,68.30430758,72.8575322,68.94095474,71.34747369,6985.0698867
2016,5632,19.3,62.43,18.27,0,0.0,52.64843557526484,80.3991138,68.30976637,68.30384194,39.06526143,82.36479077,77.95674741,96.7,7.070707071,78.44326461,71.26459863,84.56857036,35083.0,73.02426472,77.38367702,70.62537399,70.74962391,77.06972049,68.14141957,72.09910422,4392.1075041
2020,286703,35.19,48.35,16.46,165,758.0,65.10604241696679,83.33914078,71.15384615,69.8015873,66.25,82.67517936,80.0,94.7,12.24430158,84.91456995,69.2903871,84.56143348,37864.0,76.17741067,80.69094617,64.41837568,73.82019925,72.22222223,70.0,81.25,1706.4020501
4001,71232,10.44,36.74,52.82,413,45.0,22.075325069183823,83.95652128,66.54074541,70.48961922,50.25763147,80.67885802,78.54960359,88.7,11.67400881,84.5520188,66.36394367,61.73503528,13428.0,77.04311701,80.18603928,73.61896055,71.05184052,76.76018406,71.22166242,72.24720895,11197.4679357
4003,123596,26.19,49.31,24.5,280,184.0,13.088029295302384,83.93944147,63.59144122,70.45522566,62.80022259,83.63394754,78.42433011,93.9,14.18439716,86.09269027,68.04930092,83.54581007,23757.0,76.62748946,80.34305703,69.47839114,69.09826804,77.63858348,70.73092426,70.8543552,6164.5704813
4005,131295,27.47,48.06,24.46,324,308.0,20.33427957928449,84.57239502,65.27777778,72.19642857,63.75,83.13971132,82.0,94.1,12.30616958,84.79468441,69.9298546,84.27956943,24711.0,75.57319958,81.33964686,62.50775431,68.42280984,67.5,64.375,72.83459596,18618.6658929
4007,53615,19.41,45.81,34.78,219,69.0,10.77651652085894,84.83882006,66.21517378,68.77986188,61.95491979,83.56497192,77.64101343,92.8,14.08450704,82.6363226,70.25895438,87.20006697,21470.0,80.08246311,78.80016191,72.42661511,73.48436187,78.21118126,67.17384907,69.66550706,4757.9939142
4009,36046,23.85,51.44,24.7,76,49.0,8.967433588974103,85.85533973,63.44523985,71.2974381,44.76548771,81.31021954,82.58766697,93.3,11.58798283,88.17479353,68.04302692,82.50124488,17710.0,78.03827877,78.24763222,74.60665696,69.74897097,74.48160036,69.01844139,67.08331648,4622.6978178
4011,9466,23.87,54.83,21.3,10,0.0,10.691994572591588,84.10987816,63.44339803,67.02913985,57.52383804,78.60089407,80.03314064,92.4,9.473684211,88.37426049,68.44118171,81.5868655,23778.0,81.01291088,78.68428492,73.15154809,64.99704566,75.77837826,66.62954956,67.02570537,1841.9772265
4012,20895,13.11,49.98,36.91,77,25.0,9.993742737105569,81.58353688,69.22751669,67.89227516,68.02668016,80.04939156,77.15062116,94.0,12.11180124,82.38728067,71.09589848,82.76601355,21447.0,80.21307268,78.6417102,74.11149845,67.8528936,75.31287021,67.39418049,69.90653431,4499.6269948
4013,4440795,33.42,46.73,19.85,9673,8906.0,16.774686224299018,85.6333538,66.62646199,72.60515873,61.51785714,83.34464722,76.66666667,95.5,14.93289126,88.14931302,70.80998638,78.88217523,28791.0,76.23926753,80.31837432,65.31223229,66.22222222,80.1675485,74.31216931,68.85015358,9199.2467643
4015,208241,24.93,47.27,27.8,687,522.0,7.907861046356097,83.74227005,68.87892823,68.93263771,59.93934625,81.49727269,77.42437896,93.4,13.92904074,86.15950513,69.21945503,83.4800218,22026.0,80.09266496,80.4820463,68.21640445,72.7286845,77.7298723,71.71846183,70.48431794,13311.0610296
4017,109467,16.76,44.1,39.15,521,154.0,15.05656756878578,83.04141591,63.20698472,69.32366204,62.61741764,80.10742632,80.48535485,91.9,13.8047138,82.98204341,66.31422132,82.81447521,16564.0,77.99885369,79.21047913,72.50285603,68.9124111,79.18202338,70.91774308,71.28293939,9949.884917
